name,regions,habitat,diet,type,start_date,end_date,size,Length,Height,weight,size_index,image_location,timestamp,case_hash,tooltip_content,disinformant_nation,attribution_date,methods,attribution_total_score,tags,url
Stegosaurus,North America,Land,Herbivore,Dinosaur,10/27/0155,10/27/0155,29.5,,,13000,30,stegosaurus,10/27/0155 13:15,Jurassic,"Stegosaurus (/ˌstɛɡəˈsɔːrəs/;[1] lit. 'roof-lizard') is a genus of herbivorous, four-legged, armored dinosaur from the Late Jurassic, characterized by the distinctive kite-shaped upright plates along their backs and spikes on their tails. Fossils of the genus have been found in the western United States and in Portugal, where they are found in Kimmeridgian- to early Tithonian-aged strata, dating to between 155 and 145 million years ago. Of the species that have been classified in the upper Morrison Formation of the western US, only three are universally recognized: S. stenops, S. ungulatus and S. sulcatus. The remains of over 80 individual animals of this genus have been found. Stegosaurus would have lived alongside dinosaurs such as Apatosaurus, Diplodocus, Brachiosaurus, Ceratosaurus, and Allosaurus; the latter two may have preyed on it.
<p>

They were large, heavily built, herbivorous quadrupeds with rounded backs, short fore limbs, long hind limbs, and tails held high in the air. Due to their distinctive combination of broad, upright plates and tail tipped with spikes, Stegosaurus is one of the most recognizable kinds of dinosaurs. The function of this array of plates and spikes has been the subject of much speculation among scientists. Today, it is generally agreed that their spiked tails were most likely used for defense against predators, while their plates may have been used primarily for display, and secondarily for thermoregulatory functions. Stegosaurus had a relatively low brain-to-body mass ratio. It had a short neck and a small head, meaning it most likely ate low-lying bushes and shrubs. One species, Stegosaurus ungulatus, is one of the largest known of all the stegosaurians, reaching 7 metres (23 ft) in length and 3.8 metric tons (4.2 short tons) in body mass, and some specimens indicate an even larger body size.
<p>

Stegosaurus remains were first identified during the ""Bone Wars"" by Othniel Charles Marsh at Dinosaur Ridge National Landmark. The first known skeletons were fragmentary and the bones were scattered, and it would be many years before the true appearance of these animals, including their posture and plate arrangement, became well understood. Despite its popularity in books and film, mounted skeletons of Stegosaurus did not become a staple of major natural history museums until the mid-20th century, and many museums have had to assemble composite displays from several different specimens due to a lack of complete skeletons. Stegosaurus is one of the better-known dinosaurs, and has been featured in film, postal stamps, and many other types of media.
",China,10/27/0155,Hacking - Data Exfiltration,12,,
Tyrannosaurus,North America,Land,Carnivore,Dinosaur,12/31/0067,12/31/0067,40,,,13000,21,trexskull,12/31/0067 12:00,Permian,"Tyrannosaurus[nb 1] is a genus of large theropod dinosaur. The species Tyrannosaurus rex (rex meaning ""king"" in Latin), often called T. rex or colloquially T-Rex, is one of the best represented theropods. Tyrannosaurus lived throughout what is now western North America, on what was then an island continent known as Laramidia. Tyrannosaurus had a much wider range than other tyrannosaurids. Fossils are found in a variety of rock formations dating to the Maastrichtian age of the Upper Cretaceous period, 68 to 66 million years ago. It was the last known member of the tyrannosaurids and among the last non-avian dinosaurs to exist before the Cretaceous–Paleogene extinction event.
<p>

Like other tyrannosaurids, Tyrannosaurus was a bipedal carnivore with a massive skull balanced by a long, heavy tail. Relative to its large and powerful hind limbs, the forelimbs of Tyrannosaurus were short but unusually powerful for their size, and they had two clawed digits. The most complete specimen measures up to 12.3–12.4 m (40.4–40.7 ft) in length; however, according to most modern estimates, T. rex could grow to lengths of over 12.4 m (40.7 ft), up to 3.66–3.96 m (12–13 ft) tall at the hips, and 8.87 metric tons (9.78 short tons) in body mass.[2] Although other theropods rivaled or exceeded Tyrannosaurus rex in size, it is still among the largest known land predators and is estimated to have exerted the strongest bite force among all terrestrial animals. By far the largest carnivore in its environment, Tyrannosaurus rex was most likely an apex predator, preying upon hadrosaurs, juvenile armored herbivores like ceratopsians and ankylosaurs, and possibly sauropods. Some experts have suggested the dinosaur was primarily a scavenger. The question of whether Tyrannosaurus was an apex predator or a pure scavenger was among the longest debates in paleontology. Most paleontologists today accept that Tyrannosaurus was both an active predator and a scavenger.
<p>

Specimens of Tyrannosaurus rex include some that are nearly complete skeletons. Soft tissue and proteins have been reported in at least one of these specimens. The abundance of fossil material has allowed significant research into many aspects of its biology, including its life history and biomechanics. The feeding habits, physiology, and potential speed of Tyrannosaurus rex are a few subjects of debate. Its taxonomy is also controversial, as some scientists consider Tarbosaurus bataar from Asia to be a second Tyrannosaurus species, while others maintain Tarbosaurus is a separate genus. Several other genera of North American tyrannosaurids have also been synonymized with Tyrannosaurus. As the archetypal theropod, Tyrannosaurus has been one of the best-known dinosaurs since the early 20th century and has been featured in film, advertising, postal stamps, and many other media.
",Russia,12/31/0067,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Triceratops,North America,Land,Herbivore,Dinosaur,12/31/0068,12/31/0068,29.5,,,18000,15,triceratops,12/31/0068 12:00,Cretaceous,,Thailand,12/31/0068,Hacking - Data Exfiltration,14,,
Diplodocus,North America,Land,Herbivore,Dinosaur,12/31/0145,12/31/0145,108,,,34000,17,herbivore,12/31/0145 12:00,Jurassic,,Russia,12/31/0145,Sockpuppets,10,,
Ankylosaurus,North America,Land,Herbivore,Dinosaur,12/31/0067,12/31/0067,23,,,16000,57,armored,12/31/0067 12:00,Triassic,,Russia,12/31/0067,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Gigantosaurus,South America,Land,Carnivore,Dinosaur,12/31/0100,12/31/0100,40,,,17600,15,raptor,12/31/0100 12:00,Permian,,Russia,12/31/0100,Hacking - Data Exfiltration,12,,
Argentinosaurus,South America,Land,Herbivore,Dinosaur,12/31/0090,12/31/0090,115,,,176000,35,herbivore,12/31/0090 12:00,Jurassic,,Thailand,12/31/0090,Hacking - Data Exfiltration,14,,
Opthalmosaurus,Eurasia,Water,Carnivore,Marine Reptile,12/31/0150,12/31/0150,20,,,2000,20,aquatic,12/31/0150 12:00,Cretaceous,,Russia,12/31/0150,Sockpuppets,10,,
Plateosaurus,Eurasia,Land,Herbivore,Dinosaur,12/31/0210,12/31/0210,33,,,8800,23,herbivore,12/31/0210 12:00,Jurassic,,Russia,12/31/0210,Sockpuppets,15,,https://about.fb.com/news/2020/08/july-2020-cib-report/
Archaeopteryx,Eurasia,Air,Carnivore,Bird,12/31/0146,12/31/0146,1.5,,,1,17,pterodactyl,12/31/0146 12:00,Holocene,,China,12/31/0146,Hacking - Data Exfiltration,12,,
